Year,TIC [M€],O&M [M€],FUEL COST [M€],TOT YEARLY COST [M€],TOT YEARLY COST ACT [M€],YEARLY FUEL PRODUCTION [PJ],YEARLY FUEL PRODUCTION ACT [PJ]
0,1549.1401677476401,0,0,1549.1401677476401,1549.1401677476401,0,0.0
1,0,61.973575537929,795.3084638388567,857.2820393767857,824.3096532469093,49.80517514620759,47.88959148673806
2,0,61.973575537929,795.3084638388567,857.2820393767857,792.6054358143358,49.80517514620759,46.04768412186352
3,0,61.973575537929,795.3084638388567,857.2820393767857,762.1206113599384,49.80517514620759,44.27661934794569
4,0,61.973575537929,795.3084638388567,857.2820393767857,732.8082801537868,49.80517514620759,42.57367244994778
5,0,61.973575537929,795.3084638388567,857.2820393767857,704.6233463017181,49.80517514620759,40.936223509565174
6,0,61.973575537929,795.3084638388567,857.2820393767857,677.5224483670365,49.80517514620759,39.36175337458189
7,0,61.973575537929,795.3084638388567,857.2820393767857,651.4638926606121,49.80517514620759,37.84783978325182
8,0,61.973575537929,795.3084638388567,857.2820393767857,626.4075890967424,49.80517514620759,36.39215363774213
9,0,61.973575537929,795.3084638388567,857.2820393767857,602.3149895160984,49.80517514620759,34.9924554209059
10,0,61.973575537929,795.3084638388567,857.2820393767857,579.1490283808639,49.80517514620759,33.64659175087105
11,0,61.973575537929,795.3084638388567,857.2820393767857,556.8740657508306,49.80517514620759,32.352492068145246
12,0,61.973575537929,795.3084638388567,857.2820393767857,535.4558324527217,49.80517514620759,31.108165450139655
13,0,61.973575537929,795.3084638388567,857.2820393767857,514.8613773583862,49.80517514620759,29.911697548211205
14,0,61.973575537929,795.3084638388567,857.2820393767857,495.059016690756,49.80517514620759,28.761247642510774
15,0,61.973575537929,795.3084638388567,857.2820393767857,476.0182852795731,49.80517514620759,27.655045810106515
16,0,61.973575537929,795.3084638388567,857.2820393767857,457.70988969189716,49.80517514620759,26.591390202025494
17,0,61.973575537929,795.3084638388567,857.2820393767857,440.1056631652857,49.80517514620759,25.568644425024512
18,0,61.973575537929,795.3084638388567,857.2820393767857,423.17852227431314,49.80517514620759,24.585235024062026
19,0,61.973575537929,795.3084638388567,857.2820393767857,406.9024252637626,49.80517514620759,23.639649061598103
20,0,61.973575537929,795.3084638388567,857.2820393767857,391.2523319843871,49.80517514620759,22.730431789998175
21,0,61.973575537929,795.3084638388567,857.2820393767857,376.204165369603,49.80517514620759,21.856184413459783
22,0,61.973575537929,795.3084638388567,857.2820393767857,361.734774393849,49.80517514620759,21.015561936019022
23,0,61.973575537929,795.3084638388567,857.2820393767857,347.821898455624,49.80517514620759,20.207271092325982
24,0,61.973575537929,795.3084638388567,857.2820393767857,334.4441331304077,49.80517514620759,19.430068358005748
25,0,61.973575537929,795.3084638388567,857.2820393767857,321.58089724077666,49.80517514620759,18.68275803654399
26,0,61.973575537929,795.3084638388567,857.2820393767857,309.21240119305446,49.80517514620759,17.964190419753837
27,0,61.973575537929,795.3084638388567,857.2820393767857,297.31961653178314,49.80517514620759,17.273260018994073
28,0,61.973575537929,795.3084638388567,857.2820393767857,285.8842466651761,49.80517514620759,16.60890386441738
29,0,61.973575537929,795.3084638388567,857.2820393767857,274.8886987165154,49.80517514620759,15.970099869632094
30,0,61.973575537929,795.3084638388567,857.2820393767857,264.3160564581879,49.80517514620759,15.355865259261627
