Year,TIC [M€],O&M [M€],FUEL COST [M€],TOT YEARLY COST [M€],TOT YEARLY COST ACT [M€],YEARLY FUEL PRODUCTION [PJ],YEARLY FUEL PRODUCTION ACT [PJ]
0,1265.8939648524863,0,0,1265.8939648524863,1265.8939648524863,0,0.0
1,0,37.80999570989635,262.268123909855,300.0781196197513,288.5366534805301,0.0,0.0
2,0,37.80999570989635,262.268123909855,300.0781196197513,277.43908988512504,0.0,0.0
3,0,37.80999570989635,262.268123909855,300.0781196197513,266.7683556587741,0.0,0.0
4,0,37.80999570989635,262.268123909855,300.0781196197513,256.5080342872828,0.0,0.0
5,0,37.80999570989635,262.268123909855,300.0781196197513,246.64234066084884,0.0,0.0
6,0,37.80999570989635,262.268123909855,300.0781196197513,237.15609678927768,0.0,0.0
7,0,37.80999570989635,262.268123909855,300.0781196197513,228.03470845122857,0.0,0.0
8,0,37.80999570989635,262.268123909855,300.0781196197513,219.26414274156593,0.0,0.0
9,0,37.80999570989635,262.268123909855,300.0781196197513,210.8309064822749,0.0,0.0
10,0,37.80999570989635,262.268123909855,300.0781196197513,202.72202546372588,0.0,0.0
11,0,37.80999570989635,262.268123909855,300.0781196197513,194.92502448435178,0.0,0.0
12,0,37.80999570989635,262.268123909855,300.0781196197513,187.42790815803056,0.0,0.0
13,0,37.80999570989635,262.268123909855,300.0781196197513,180.21914245964476,0.0,0.0
14,0,37.80999570989635,262.268123909855,300.0781196197513,173.28763698042766,0.0,0.0
15,0,37.80999570989635,262.268123909855,300.0781196197513,166.6227278657958,0.0,0.0
16,0,37.80999570989635,262.268123909855,300.0781196197513,160.21416140941906,0.0,0.0
17,0,37.80999570989635,262.268123909855,300.0781196197513,154.05207827828755,0.0,0.0
18,0,37.80999570989635,262.268123909855,300.0781196197513,148.12699834450723,0.0,0.0
19,0,37.80999570989635,262.268123909855,300.0781196197513,142.42980610048772,0.0,0.0
20,0,37.80999570989635,262.268123909855,300.0781196197513,136.95173663508436,0.0,0.0
21,0,37.80999570989635,262.268123909855,300.0781196197513,131.68436214911955,0.0,0.0
22,0,37.80999570989635,262.268123909855,300.0781196197513,126.61957898953804,0.0,0.0
23,0,37.80999570989635,262.268123909855,300.0781196197513,121.7495951822481,0.0,0.0
24,0,37.80999570989635,262.268123909855,300.0781196197513,117.06691844446932,0.0,0.0
25,0,37.80999570989635,262.268123909855,300.0781196197513,112.5643446581436,0.0,0.0
26,0,37.80999570989635,262.268123909855,300.0781196197513,108.23494678667653,0.0,0.0
27,0,37.80999570989635,262.268123909855,300.0781196197513,104.07206421795819,0.0,0.0
28,0,37.80999570989635,262.268123909855,300.0781196197513,100.06929251726748,0.0,0.0
29,0,37.80999570989635,262.268123909855,300.0781196197513,96.22047357429565,0.0,0.0
30,0,37.80999570989635,262.268123909855,300.0781196197513,92.51968612913043,0.0,0.0
