Year,TIC [M€],O&M [M€],FUEL COST [M€],TOT YEARLY COST [M€],TOT YEARLY COST ACT [M€],YEARLY FUEL PRODUCTION [PJ],YEARLY FUEL PRODUCTION ACT [PJ]
0,2103.870730029599,0,0,2103.870730029599,2103.870730029599,0,0.0
1,0,62.838867618636,616.4462111541908,679.2850787728268,653.1587295892565,49.94389591675667,48.02297684303525
2,0,62.838867618636,616.4462111541908,679.2850787728268,628.0372399896696,49.94389591675667,46.17593927214928
3,0,62.838867618636,616.4462111541908,679.2850787728268,603.8819615285286,49.94389591675667,44.39994160783585
4,0,62.838867618636,616.4462111541908,679.2850787728268,580.6557322389697,49.94389591675667,42.692251545996
5,0,62.838867618636,616.4462111541908,679.2850787728268,558.3228194605477,49.94389591675667,41.05024187115001
6,0,62.838867618636,616.4462111541908,679.2850787728268,536.8488648659112,49.94389591675667,39.471386414567306
7,0,62.838867618636,616.4462111541908,679.2850787728268,516.2008316018378,49.94389591675667,37.95325616785318
8,0,62.838867618636,616.4462111541908,679.2850787728268,496.34695346330557,49.94389591675667,36.493515546012674
9,0,62.838867618636,616.4462111541908,679.2850787728268,477.25668602240916,49.94389591675667,35.089918794242955
10,0,62.838867618636,616.4462111541908,679.2850787728268,458.9006596369319,49.94389591675667,33.74030653292591
11,0,62.838867618636,616.4462111541908,679.2850787728268,441.2506342662806,49.94389591675667,32.442602435505684
12,0,62.838867618636,616.4462111541908,679.2850787728268,424.2794560252698,49.94389591675667,31.19481003414008
13,0,62.838867618636,616.4462111541908,679.2850787728268,407.9610154089132,49.94389591675667,29.995009648211614
14,0,62.838867618636,616.4462111541908,679.2850787728268,392.27020712395506,49.94389591675667,28.84135543097271
15,0,62.838867618636,616.4462111541908,679.2850787728268,377.1828914653414,49.94389591675667,27.73207252978145
16,0,62.838867618636,616.4462111541908,679.2850787728268,362.6758571782129,49.94389591675667,26.665454355559085
17,0,62.838867618636,616.4462111541908,679.2850787728268,348.7267857482816,49.94389591675667,25.63985995726835
18,0,62.838867618636,616.4462111541908,679.2850787728268,335.3142170656553,49.94389591675667,24.65371149737341
19,0,62.838867618636,616.4462111541908,679.2850787728268,322.41751640928396,49.94389591675667,23.70549182439751
20,0,62.838867618636,616.4462111541908,679.2850787728268,310.01684270123457,49.94389591675667,22.79374213884376
21,0,62.838867618636,616.4462111541908,679.2850787728268,298.0931179819563,49.94389591675667,21.917059748888228
22,0,62.838867618636,616.4462111541908,679.2850787728268,286.6279980595734,49.94389591675667,21.07409591239253
23,0,62.838867618636,616.4462111541908,679.2850787728268,275.60384428805133,49.94389591675667,20.26355376191589
24,0,62.838867618636,616.4462111541908,679.2850787728268,265.00369643081854,49.94389591675667,19.484186309534508
25,0,62.838867618636,616.4462111541908,679.2850787728268,254.8112465680948,49.94389591675667,18.734794528398567
26,0,62.838867618636,616.4462111541908,679.2850787728268,245.01081400778344,49.94389591675667,18.014225508075544
27,0,62.838867618636,616.4462111541908,679.2850787728268,235.5873211613302,49.94389591675667,17.32137068084187
28,0,62.838867618636,616.4462111541908,679.2850787728268,226.52627034743287,49.94389591675667,16.655164116194104
29,0,62.838867618636,616.4462111541908,679.2850787728268,217.8137214879162,49.94389591675667,16.01458088095587
30,0,62.838867618636,616.4462111541908,679.2850787728268,209.43627066145788,49.94389591675667,15.398635462457566
