Year,TIC [M€],O&M [M€],FUEL COST [M€],TOT YEARLY COST [M€],TOT YEARLY COST ACT [M€],YEARLY FUEL PRODUCTION [PJ],YEARLY FUEL PRODUCTION ACT [PJ]
0,984.6808758960556,0,0,984.6808758960556,984.6808758960556,0,0.0
1,0,45.8520379182388,196.66419840605334,242.51623632429215,233.18868877335782,14.163759104259192,13.61899913871076
2,0,45.8520379182388,196.66419840605334,242.51623632429215,224.21989305130558,14.163759104259192,13.095191479529577
3,0,45.8520379182388,196.66419840605334,242.51623632429215,215.59605101087075,14.163759104259192,12.59153026877844
4,0,45.8520379182388,196.66419840605334,242.51623632429215,207.30389520276032,14.163759104259192,12.10724064305619
5,0,45.8520379182388,196.66419840605334,242.51623632429215,199.33066846419263,14.163759104259192,11.641577541400185
6,0,45.8520379182388,196.66419840605334,242.51623632429215,191.66410429249288,14.163759104259192,11.193824559038637
7,0,45.8520379182388,196.66419840605334,242.51623632429215,184.29240797355087,14.163759104259192,10.76329284522946
8,0,45.8520379182388,196.66419840605334,242.51623632429215,177.2042384361066,14.163759104259192,10.349320043489865
9,0,45.8520379182388,196.66419840605334,242.51623632429215,170.38869080394863,14.163759104259192,9.951269272586408
10,0,45.8520379182388,196.66419840605334,242.51623632429215,163.8352796191814,14.163759104259192,9.5685281467177
11,0,45.8520379182388,196.66419840605334,242.51623632429215,157.5339227107513,14.163759104259192,9.200507833382403
12,0,45.8520379182388,196.66419840605334,242.51623632429215,151.4749256834147,14.163759104259192,8.84664214748308
13,0,45.8520379182388,196.66419840605334,242.51623632429215,145.6489670032834,14.163759104259192,8.506386680272191
14,0,45.8520379182388,196.66419840605334,242.51623632429215,140.04708365700324,14.163759104259192,8.179217961800184
15,0,45.8520379182388,196.66419840605334,242.51623632429215,134.66065736250312,14.163759104259192,7.8646326555771
16,0,45.8520379182388,196.66419840605334,242.51623632429215,129.48140131009916,14.163759104259192,7.56214678420875
17,0,45.8520379182388,196.66419840605334,242.51623632429215,124.50134741355687,14.163759104259192,7.271294984816105
18,0,45.8520379182388,196.66419840605334,242.51623632429215,119.71283405149698,14.163759104259192,6.991629793092407
19,0,45.8520379182388,196.66419840605334,242.51623632429215,115.10849428028556,14.163759104259192,6.722720954896546
20,0,45.8520379182388,196.66419840605334,242.51623632429215,110.68124450027457,14.163759104259192,6.4641547643236015
21,0,45.8520379182388,196.66419840605334,242.51623632429215,106.42427355795631,14.163759104259192,6.215533427234233
22,0,45.8520379182388,196.66419840605334,242.51623632429215,102.3310322672657,14.163759104259192,5.976474449263685
23,0,45.8520379182388,196.66419840605334,242.51623632429215,98.39522333390931,14.163759104259192,5.746610047368927
24,0,45.8520379182388,196.66419840605334,242.51623632429215,94.61079166722048,14.163759104259192,5.525586584008583
25,0,45.8520379182388,196.66419840605334,242.51623632429215,90.97191506463508,14.163759104259192,5.313064023085177
26,0,45.8520379182388,196.66419840605334,242.51623632429215,87.4729952544568,14.163759104259192,5.10871540681267
27,0,45.8520379182388,196.66419840605334,242.51623632429215,84.10864928313154,14.163759104259192,4.91222635270449
28,0,45.8520379182388,196.66419840605334,242.51623632429215,80.87370123378032,14.163759104259192,4.723294569908163
29,0,45.8520379182388,196.66419840605334,242.51623632429215,77.7631742632503,14.163759104259192,4.541629394142464
30,0,45.8520379182388,196.66419840605334,242.51623632429215,74.77228294543299,14.163759104259192,4.3669513405216005
